Time Step	Outliers
0	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]
1	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
2	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
3	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
4	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
5	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
6	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
7	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
8	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
9	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
10	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
11	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
12	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
13	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
14	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
15	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
16	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
17	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
18	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
19	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
20	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
21	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
22	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
23	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
24	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
25	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
26	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
27	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
28	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
29	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
30	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
31	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
32	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
33	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
34	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
35	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
36	[Flt-3L]	[IL-6]	[IL-8]	[sTNFRII]	[sVEGFR3]	[Ab40]	[FGF-21]	[IL-23]	[IL-28a]	[ApoCII]	[Eotaxin]	[Eotaxin-3]	[I-TAC]	[PAI-1]	[LIF]	[SCF]	[SDF-1]
