Time Step	Outliers
0	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
1	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
2	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
3	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
4	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
5	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
6	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
7	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
8	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
9	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
10	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Insulin]	[PAI-1]	[Vitamin D BP]
11	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
12	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[GCP2]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
13	[FGF-2]	[Flt-3L]	[G-CSF]	[sCD40L]	[sEGFR]	[sIL-1RI]	[sIL-2Ra]	[sRAGE]	[sTNFRI]	[HGF]	[IL-33]	[ApoCIII]	[Glucagon]	[Insulin]	[PAI-1]	[Vitamin D BP]
