Column Name0,1,2,3,4,5
iOmicsno,"-1.0-->-0.5","-0.5-->0.0","0.0-->-0.5","-0.5-->-1"
Gender,"1.0-->1.3141852841662651","1.3141852841662651-->1.6283705683325302","1.6283705683325302-->1.8141852841662651","1.8141852841662651-->2.0"
Eth_Derived,"1.0-->1.4982152329971343","1.4982152329971343-->1.9964304659942687","1.9964304659942687-->2.4982152329971345","2.4982152329971345-->3.0"
StationI_Measurement_Height-Result,"142.8-->151.59559274050847","151.59559274050847-->160.39118548101692","160.39118548101692-->171.24559274050847","171.24559274050847-->182.1"
StationI_Measurement_Weight-Result,"39.3-->52.57198362840267","52.57198362840267-->65.84396725680534","65.84396725680534-->88.32198362840268","88.32198362840268-->110.8"
BMI,"15.05-->20.303470770559805","20.303470770559805-->25.556941541119613","25.556941541119613-->32.65347077055981","32.65347077055981-->39.75"
StationI_Measurement_Waist-Result,"58.5-->71.0374959707708","71.0374959707708-->83.57499194154161","83.57499194154161-->103.48749597077081","103.48749597077081-->123.4"
StationI_Measurement_HipCir-Result,"67.8-->83.17739570897818","83.17739570897818-->98.55479141795637","98.55479141795637-->116.6773957089782","116.6773957089782-->134.8"
BloodPressure_SysDia-Systolic,"82.33-->103.85185842127379","103.85185842127379-->125.37371684254758","125.37371684254758-->217.3518584212738","217.3518584212738-->309.33"
BloodPressure_SysDia-Diastolic,"51.5-->65.45103052849515","65.45103052849515-->79.40206105699029","79.40206105699029-->176.36603052849512","176.36603052849512-->273.33"
StationIII_Q1-R5,"4.0-->4.497166670718358","4.497166670718358-->4.994333341436716","4.994333341436716-->4.997166670718358","4.997166670718358-->5.0"
StationIII_Q1-L5,"4.0-->4.495755191554198","4.495755191554198-->4.9915103831083965","4.9915103831083965-->4.995755191554198","4.995755191554198-->5.0"
StationIII_Q2-ApexR,"2.5-->4.105346221556682","4.105346221556682-->5.7106924431133645","5.7106924431133645-->13.605346221556683","13.605346221556683-->21.5"
StationIII_Q2-ApexL,"2.5-->4.202070040577729","4.202070040577729-->5.9041400811554565","5.9041400811554565-->13.952070040577727","13.952070040577727-->22.0"
StationIII_Q2-MedR,"3.0-->5.342477516259575","5.342477516259575-->7.6849550325191505","7.6849550325191505-->15.342477516259574","15.342477516259574-->23.0"
StationIII_Q2-MedL,"2.5-->4.883227424011515","4.883227424011515-->7.26645484802303","7.26645484802303-->15.133227424011515","15.133227424011515-->23.0"
StationIII_Q3-BP,"90.0-->105.88438543379678","105.88438543379678-->121.76877086759356","121.76877086759356-->161.38438543379678","161.38438543379678-->201.0"
StationIII_Q4-R,"90.0-->109.10077211370367","109.10077211370367-->128.20154422740734","128.20154422740734-->168.10077211370367","168.10077211370367-->208.0"
StationIII_Q4-L,"94.0-->111.9950365104431","111.9950365104431-->129.9900730208862","129.9900730208862-->171.4950365104431","171.4950365104431-->213.0"
StationV_Bicep,"3.53-->7.618130562057621","7.618130562057621-->11.706261124115242","11.706261124115242-->20.88813056205762","20.88813056205762-->30.07"
StationV_Tricep,"5.33-->12.180103594337364","12.180103594337364-->19.030207188674726","19.030207188674726-->28.450103594337364","28.450103594337364-->37.87"
StationV_SubScapula,"8.53-->15.700246972936501","15.700246972936501-->22.870493945873","22.870493945873-->31.1002469729365","31.1002469729365-->39.33"
StationV_SupraIliac,"7.2-->15.71350779101261","15.71350779101261-->24.227015582025217","24.227015582025217-->30.813507791012608","30.813507791012608-->37.4"
StationV_ParaUmbilicus,"6.4-->16.444594478754965","16.444594478754965-->26.489188957509928","26.489188957509928-->32.679594478754964","32.679594478754964-->38.87"
StationV_Thigh,"6.13-->15.535317031933836","15.535317031933836-->24.940634063867673","24.940634063867673-->32.33531703193383","32.33531703193383-->39.73"
StationV_Calf,"4.47-->11.196245557513105","11.196245557513105-->17.922491115026208","17.922491115026208-->28.296245557513103","28.296245557513103-->38.67"
CASPro-CASP,"79.0-->97.00268664280499","97.00268664280499-->115.00537328560998","115.00537328560998-->147.00268664280497","147.00268664280497-->179.0"
CASPro-Sys,"82.0-->102.34134106435849","102.34134106435849-->122.68268212871698","122.68268212871698-->155.3413410643585","155.3413410643585-->188.0"
CASPro-Dia,"51.0-->64.3084738322442","64.3084738322442-->77.61694766448839","77.61694766448839-->97.3084738322442","97.3084738322442-->117.0"
CASPro-MAP,"62.0-->76.40178821855281","76.40178821855281-->90.80357643710563","90.80357643710563-->110.90178821855281","110.90178821855281-->131.0"
CASPro-PR,"44.0-->58.103293847278934","58.103293847278934-->72.20658769455787","72.20658769455787-->93.10329384727893","93.10329384727893-->114.0"
CASPro-rAI,"51.0-->69.23265227973457","69.23265227973457-->87.46530455946912","87.46530455946912-->376.73265227973457","376.73265227973457-->666.0"
CASPro-rAP,"2.0-->1.8896196153774827","1.8896196153774827-->1.7792392307549654","1.7792392307549654-->10.389619615377484","10.389619615377484-->19.0"
CASPro-PRT,"67.0-->83.81435403454786","83.81435403454786-->100.62870806909572","100.62870806909572-->133.81435403454788","133.81435403454788-->167.0"
GLU_1,"3.7-->4.421516953994931","4.421516953994931-->5.143033907989861","5.143033907989861-->6.72151695399493","6.72151695399493-->8.3"
CRE_1,"25.0-->43.82156018498554","43.82156018498554-->62.643120369971086","62.643120369971086-->85.32156018498554","85.32156018498554-->108.0"
CHO_1,"3.55-->4.625975647252339","4.625975647252339-->5.701951294504678","5.701951294504678-->7.475975647252339","7.475975647252339-->9.25"
