Lipid	Class	Coefficient
GM3(d18 1 16 0)	0	-0.82806469153
SM(31 1)	0	-0.798584590271
SM(32 1)	1	1.04689171477
SM(35 2)	0	-1.34165132963
PC(35 1)	0	-0.757985060021
PC(35 2)	0	-1.18878487143
PC(38 4)	1	1.13959156456
PC(40 7)	0	-0.805417942507
PC(O-36 3)	1	0.774073597334
PC(P-30 0)	0	-0.742902487547
PC(P-32 0)	1	0.870612826249
PC(P-36 2)	1	0.744325357863
PC(P-38 6)	0	-0.878067944913
LPC(16 0)	1	0.770081519379
LPC(20 1)	1	0.986872649568
LPC(22 5)	1	1.02226789811
LPC(22 6)	0	-1.01951602491
LPC(O-22 1)	1	0.89608367293
LPC(O-24 0)	0	-1.08480624233
PE(34 1)	0	-1.13029201198
PE(36 2)	0	-1.03102426343
PE(36 5)	1	0.725670023294
PE(38 3)	0	-0.993438564474
PE(P-16 0 22 5)	1	0.917389478538
PE(P-18 0 18 2)	1	0.720772500854
PE(P-18 0 22 5)	0	-1.33159265436
PE(P-18 0 22 6)	0	-0.771455567554
PI(40 5)	1	0.725158050456
PI(40 6)	1	0.91153306934
CE(14 0)	1	0.863203935655
CE(22 4)	0	-0.75671108404
DG(16 0_20 4)	0	-0.875213163205
DG(18 2_20 4)	1	0.958965929071
TG(14 0_16 1_18 1)	0	-0.985233239825
TG(16 0_17 0_18 1)	0	-1.03442330526
